ip,timestamp,method,url,status,response_size
dialup12.leuven.eunet.be,01/Aug/1995:11:51:44 -0400,GET,/shuttle/missions/sts-69/images/KSC-95EC-0768.gif,404,
dialup12.leuven.eunet.be,01/Aug/1995:11:51:59 -0400,GET,/shuttle/missions/sts-69/images/KSC-95EC-0852.gif,404,
dialup12.leuven.eunet.be,01/Aug/1995:11:52:10 -0400,GET,/shuttle/missions/sts-69/images/KSC-95EC-0585.gif,404,
derec,01/Aug/1995:11:54:46 -0400,GET,/shuttle/missions/STS-69/images/index69.gif,404,
derec,01/Aug/1995:12:04:23 -0400,GET,/shuttle/missions/STS-69/images/index69.gif,404,
derec,01/Aug/1995:12:05:00 -0400,GET,/shuttle/missions/STS-69/images/index69.gif,404,
derec,01/Aug/1995:12:05:19 -0400,GET,/shuttle/missions/STS-69/images/index69.gif,404,
usr8-dialup14.atlanta.mci.net,01/Aug/1995:12:16:52 -0400,GET,/://spacelink.msfc.nasa.gov,404,
192.225.75.179,01/Aug/1995:12:21:42 -0400,GET,/payloads/systems.html,404,
gateway.amoco.com,01/Aug/1995:12:26:46 -0400,GET,/pub/winvn/readme.txt,404,
gateway.amoco.com,01/Aug/1995:12:27:19 -0400,GET,/pub/winvn/release.txt,404,
brogers.sso.az.honeywell.com,01/Aug/1995:12:29:50 -0400,GET,/shuttle/missions/sts-68/ksc-upclose.gif,404,
mailhost.magus.co.uk,01/Aug/1995:12:35:53 -0400,GET,/robots.txt,404,
usr8-dialup14.atlanta.mci.net,01/Aug/1995:12:36:27 -0400,GET,/://spacelink.msfc.nasa.gov,404,
167.114.251.6,01/Aug/1995:12:38:05 -0400,GET,/shuttle/missions/sts-71/images/KSC-95EC-0916.txt,404,
derec,01/Aug/1995:12:38:42 -0400,GET,/shuttle/missions/sts-71/count.gif,404,
derec,01/Aug/1995:12:39:05 -0400,GET,/shuttle/missions/sts-71/count71.gif,404,
mac48.dfp.upenn.edu,01/Aug/1995:12:42:43 -0400,GET,/history/apollo/sa-5/sa-5-patch-small.gif,404,
mac48.dfp.upenn.edu,01/Aug/1995:12:42:49 -0400,GET,/history/apollo/sa-5/movies/,404,
mac48.dfp.upenn.edu,01/Aug/1995:12:42:54 -0400,GET,/history/apollo/sa-5/sounds/,404,
mac48.dfp.upenn.edu,01/Aug/1995:12:42:56 -0400,GET,/history/apollo/sa-5/sa-5-patch-small.gif,404,
198.213.130.253,01/Aug/1995:12:59:51 -0400,GET,/shuttle/resources/orbiters/discovery.gif,404,
hathor.telos.com,01/Aug/1995:13:01:48 -0400,GET,/APOLLO-13,404,
hathor.telos.com,01/Aug/1995:13:02:29 -0400,GET,/APOLLO-13.HTML,404,
hathor.telos.com,01/Aug/1995:13:02:52 -0400,GET,/HISTORY,404,
hathor.telos.com,01/Aug/1995:13:11:06 -0400,GET,/HISTORY/APOLLO/APOLLO-13/APOLLO-13.HTML,404,
mailhost.magus.co.uk,01/Aug/1995:13:18:36 -0400,GET,/robots.txt,404,
155.157.87.82,01/Aug/1995:13:25:35 -0400,GET,/pub/winvn/readme.txt,404,
155.157.87.82,01/Aug/1995:13:25:41 -0400,GET,/pub/winvn/release.txt,404,
lightning1.llnl.gov,01/Aug/1995:13:38:03 -0400,GET,/shuttle/technology/sts-newsref/spacelab,404,
alyssa.prodigy.com,01/Aug/1995:13:48:23 -0400,GET,/HISTORY/APOLLO,404,
alyssa.prodigy.com,01/Aug/1995:13:50:18 -0400,GET,/HISTORY/APOLLO/APOLLO-13/APOLLO-13.HTML,404,
157.235.1.84,01/Aug/1995:14:03:13 -0400,GET,/shuttle/resources/orbiters/atlantis.gif,404,
derec,01/Aug/1995:14:07:17 -0400,GET,/missions/sts-70/liftoff.html,404,
derec,01/Aug/1995:14:07:38 -0400,GET,/missions/sts-70/liftoff.html,404,
204.62.245.32,01/Aug/1995:14:20:10 -0400,GET,/shuttle/countdown/aa.html,404,
ip-pdx2-56.teleport.com,01/Aug/1995:14:20:38 -0400,GET,/pub/winvn,404,
ip-pdx2-56.teleport.com,01/Aug/1995:14:20:51 -0400,GET,/pub/winvn/,404,
ip-pdx2-56.teleport.com,01/Aug/1995:14:21:04 -0400,GET,/pub/,404,
ip-pdx2-56.teleport.com,01/Aug/1995:14:21:17 -0400,GET,/pub,404,
204.62.245.32,01/Aug/1995:14:24:49 -0400,GET,/shuttle/countdown/ab.html,404,
204.62.245.32,01/Aug/1995:14:31:44 -0400,GET,/shuttle/countdown/ac.html,404,
derec,01/Aug/1995:14:34:22 -0400,GET,/shuttle/missions/sts-69/video/livevideo2.gif,404,
n1031657.ksc.nasa.gov,03/Aug/1995:06:23:17 -0400,GET,/history/apollo/sa-2/sa-2-patch-small.gif,404,
n1031657.ksc.nasa.gov,03/Aug/1995:06:23:34 -0400,GET,/history/apollo/sa-2/sa-2-patch-small.gif,404,
198.213.130.253,03/Aug/1995:11:29:02 -0400,GET,"/shuttle/missions/sts-34/mission-sts-34.html""><IMG images/ssbuv1.gif SRC=""images/small34p.gif/",404,
155.31.129.55,03/Aug/1995:11:29:09 -0400,GET,/shuttle/tecnology/stsreftoc.html,404,
hidaka.hudk.hokudai.ac.jp,03/Aug/1995:11:32:50 -0400,GET,/shuttle/mission,404,
128.159.132.56,03/Aug/1995:11:35:11 -0400,GET,/images/crawlerway-logo.gif,404,
hidaka.hudk.hokudai.ac.jp,03/Aug/1995:11:37:35 -0400,GET,/shuttle/missions/sts-71/video/landing.gif,404,
hidaka.hudk.hokudai.ac.jp,03/Aug/1995:11:38:18 -0400,GET,/shuttle/missions/sts-71/video/landing.gif,404,
relay.tis.com,03/Aug/1995:11:45:36 -0400,GET,/elv/DELTA/uncons.htm,404,
204.134.97.29,03/Aug/1995:11:47:42 -0400,GET,/pub/winvn/readme.txt,404,
204.134.97.29,03/Aug/1995:11:47:51 -0400,GET,/pub/winvn/release.txt,404,
fkirchman.gsfc.nasa.gov,03/Aug/1995:11:52:11 -0400,GET,/elv/DELTA/uncons.htm,404,
acca.nmsu.edu,03/Aug/1995:11:55:03 -0400,GET,/pub/winvn/release.txt,404,
acca.nmsu.edu,03/Aug/1995:11:55:12 -0400,GET,/pub/winvn/readme.txt,404,
